2026 Canadian Dental Services Corp - Clinic Services & Treatment Master List ,,,
Category,Service / Treatment,Description,WILD
Emergency Services,Emergency Appointments,"Prompt care for dental emergencies to relieve pain, stop damage, and restore your oral health as quickly as possible.",x
,Same Day Emergency Appointments,"Fast, same-day care for urgent dental issues so you can get relief without waiting.",x
,Toothache Relief,Diagnosis and treatment to quickly relieve tooth pain and address the underlying cause.,x
,Broken/Chipped Tooth Emeregency Repair,"Immediate repair of damaged teeth to restore appearance, function, and prevent further complications.",x
,Knocked-Out Tooth Treatment,Urgent care to save and reattach a knocked-out tooth whenever possible.,x
Preventive Dentistry,Fluoride Treatments,Strengthen enamel and help prevent cavities with professional fluoride applications.,x
,Routine Cleanings & Exams,Regular checkups and professional cleanings to keep your teeth and gums healthy.,x
,Dental Sealants,"Protective coatings applied to teeth to prevent cavities, especially in hard-to-clean areas.",x
,"Night Guards, Mouthguards, Sport Guards","Custom-made guards to protect teeth from grinding, clenching, or sports-related injuries.",x
,Nutrition Counseling,Guidance on diet and habits that support strong teeth and healthy gums.,x
,Patient Comfort Techniques,Techniques and options designed to help you feel relaxed and comfortable during your visit.,x
Diagnostic Services,X-Rays & 3D Imaging,Advanced imaging to accurately diagnose dental conditions and plan treatments.,x
,Diagnostic Imaging/Digital X-Rays,"Low-radiation digital X-rays for fast, precise diagnosis of dental issues.",x
,Intraoral Cameras,Small cameras that provide detailed images of your teeth and gums for better understanding and care.,x
,CBCT Scans (Cone Beam CT),"3D imaging technology for detailed views of teeth, bone, and nerves—ideal for implants and complex cases.",x
,Oral Cancer Screenings,"Quick, painless screenings to detect early signs of oral cancer.",x
Children’s Dentistry,Children's Dental Exams & Cleanings,Gentle dental care tailored for children.,x
,Infant Oral Care (First Visit by Age 1),Early visits to support proper development and educate parents.,x
,Child Comfort Techniques,Kid-friendly methods to ensure a positive dental experience.,x
,Fluoride Treatments,Devices to hold space for permanent teeth after early tooth loss.,x
,Dental Sealants,Protective coatings to prevent cavities in hard-to-clean areas.,x
,X-Rays & Imaging,Advanced imaging for accurate diagnosis and treatment planning.,x
,Frenectomies (Tongue-Ties),Simple procedures to correct tongue- or lip-ties.,x
,Space Maintainers,Devices to hold space for permanent teeth after early tooth loss.,x
Orthodontics - By Specialist & GP,Invisalign & Clear Aligners - GP Provider (OAP),Clear aligners to straighten teeth discreetly through your general dentist.,x
,"Invisalign, Retainers & Braces By Orthodontic Specialist ",Specialist orthodontic care for alignment and bite correction.,
Sedation Dentistry,Nitrous Oxide (Laughing Gas),Mild sedation to help you relax during treatment.,
,Oral Sedation,Medication to reduce anxiety and improve comfort during procedures.,
,IV Sedation,Deeper sedation for anxiety-free dental care during complex treatments.,
,General Anesthesia,Full sedation for extensive procedures or severe dental anxiety.,
Restorative,Tooth-Colored Fillings,Natural-looking fillings to restore cavities.,x
,Crowns & Bridges,Restorations to repair or replace damaged or missing teeth.,x
,Inlays & Onlays,Custom restorations for moderate tooth damage.,x
Oral Surgery,Extractions,Safe removal of damaged or problematic teeth.,x
,Wisdom Tooth Extraction ,Removal of wisdom teeth to prevent pain and complications.,x
,Dental Implants (Single & Multiple),Permanent tooth replacement solutions that look and function like natural teeth.,x
Periodontal (Gum) Care,Scaling & Root Planing (Deep Cleaning),Deep cleaning to treat gum disease and remove bacteria below the gumline.,
,Gum Disease Treatment,Care to manage and treat gum infections.,
,Gum Contouring,Shaping the gumline for a more balanced smile.,
,Laser Gum Therapy,Minimally invasive laser treatment for gum disease.,
,Soft Tissue Grafts,Procedures to restore receding gums.,
Prosthodontic Care - Tooth Replacement & Smile Restoration - By Specialist ,Dental Crowns & Bridges,Restore damaged or missing teeth with custom-made crowns and bridges that look and function like natural teeth.,
,Full & Partial Dentures,"Comfortable, natural-looking removable options to replace multiple or all missing teeth.",
,Implant-Supported Restorations,"Secure, long-lasting tooth replacement solutions supported by dental implants.",
,Complete Smile Restoration,Comprehensive treatment plans to rebuild and restore your entire smile’s function and appearance.,
,Full Mouth Rehabilitation,"Advanced care to restore bite, function, and aesthetics for patients with extensive dental concerns.",
,Complete Smile Restoration / Smile In A Day ,"Full-mouth restoration solutions, often completed in fewer visits.",
,Inlays & Onlays,Custom restorations that repair moderate tooth damage while preserving more natural tooth structure.,
,Replacement of Worn or Failing Dental Work,"Upgrade or replace old crowns, bridges, or dentures for improved comfort and function.",
,Bite Reconstruction & Occlusal Therapy,"Treatment to correct bite issues and improve jaw function, comfort, and long-term oral health.",
Endodontic Services (Root Canal Treatment)- By Specialist ,Root Canal Treatment,Treatment to remove infection and save a damaged tooth.,x
,Root Canal Retreatment,Treatment to address issues in a previously treated root canal.,
,Endodontic Surgery (Apicoectomy),Surgical treatment to remove infection at the root tip.,
,Treatment of Traumatic Dental Injuries,Care for teeth damaged by accidents or injury.,x
,Cracked Tooth Treatment,Diagnosis and treatment to restore cracked teeth.,x
,Internal Tooth Bleaching,"Whitening from within for discolored, treated teeth.",x
Cosmetic Dentistry,Teeth Whitening,Professional whitening to brighten your smile.,x
,Porcelain Veneers,Thin shells placed on teeth to improve appearance.,x
,Smile Makeovers,Tooth-colored material used to repair chips and gaps.,x
,Dental Bonding,Shaping the gumline for a more balanced smile.,x
,Invisalign & Clear Aligners,Clear aligners to straighten teeth discreetly through your general dentist.,x
,Gum Contouring,Shaping the gumline for a more balanced smile.,x
TMJ/TMD Therapy,TMJ Diagnosis,Assessment and diagnosis of jaw joint disorders.,x
,Botox® (Botulinum Toxin) Therapy for TMJ and Facial Pain,"Treatment to relieve jaw tension, headaches, and facial pain.",x
,Custom Night Guards,Custom appliances to protect against grinding and clenching.,x
,Bite Correction,Treatments to align your bite and improve function.,x
Sleep Apnea & Snoring Solutions,Oral Appliance Therapy,Custom devices to treat snoring and sleep apnea.,CITYS
,Snore Guards,Appliances designed to reduce snoring.,CITYS
IVS (Sedation) - Specialist ,Relaxation Dentistry for Nervous Patients,Supportive care to help anxious patients feel at ease.,
,Sedation Options for Sensitive Teeth or Gag Reflex,Sedation solutions for patients with sensitivity or gag reflex.,
,Stress-Free Dental Visits with IV Sedation,Comfort-focused visits using IV sedation.,
,Monitoring and Safe Sedation Care,Continuous monitoring to ensure safe sedation throughout treatment.,
,,,
,,,
LEGEND:,,,
,SERVICES PROVIDED BY A SPECIALIST,,
,SERVICES PROVIDED BY A GP,,
,"CROSS PROMOTE A SPECIALTY SERVICE (WEBSITE, MAXASSIST)",,